epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23409.1,1.2946,1.27395,1.48554,0.73167,0.6597,0.68178,0.4193,1.49049,1.3164,1.6038,0.0005941,0.0005941,0.0005941
43,23620.6,1.30072,1.29984,1.49188,0.78486,0.59965,0.68141,0.41116,1.5244,1.38181,1.62537,0.0005842,0.0005842,0.0005842
44,23837.7,1.2339,1.21252,1.44438,0.81213,0.64858,0.67114,0.39703,1.5686,1.34178,1.67205,0.0005743,0.0005743,0.0005743
45,25037.6,1.28376,1.24445,1.47215,0.74989,0.6505,0.68394,0.40716,1.59582,1.37376,1.75527,0.0005644,0.0005644,0.0005644
46,61330.4,1.22637,1.15341,1.42532,0.78004,0.65216,0.70792,0.42806,1.54479,1.16121,1.65627,0.0005545,0.0005545,0.0005545
47,61803.5,1.25959,1.21472,1.4459,0.75618,0.66307,0.71709,0.4271,1.51714,1.2695,1.62057,0.0005446,0.0005446,0.0005446
48,62129.5,1.2326,1.16144,1.43794,0.73211,0.65792,0.71334,0.42967,1.48243,1.18602,1.62132,0.0005347,0.0005347,0.0005347
49,62621.7,1.25448,1.17595,1.44816,0.83689,0.63322,0.70716,0.43722,1.42447,1.21489,1.59041,0.0005248,0.0005248,0.0005248
50,63316.9,1.20447,1.16174,1.44286,0.79283,0.60566,0.71175,0.44403,1.46553,1.16766,1.63647,0.0005149,0.0005149,0.0005149
51,63778.5,1.24967,1.18626,1.48084,0.80666,0.63639,0.7224,0.41193,1.56092,1.14963,1.71251,0.000505,0.000505,0.000505
52,64115,1.23489,1.12382,1.42812,0.76227,0.64411,0.7118,0.42364,1.44802,1.19359,1.60392,0.0004951,0.0004951,0.0004951
53,64448.3,1.19937,1.10482,1.40054,0.63453,0.66934,0.70902,0.42755,1.51257,1.21782,1.6556,0.0004852,0.0004852,0.0004852
