epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.2648,0.4258,0.87981,1,0.28929,0.000552995,0.000552995,0.000552995
2,68.7988,0.27988,0.89904,1,0.24698,0.00108671,0.00108671,0.00108671
3,95.9221,0.29823,0.85096,1,0.33596,0.00159842,0.00159842,0.00159842
4,122.852,0.3259,0.90385,1,0.27368,0.00156798,0.00156798,0.00156798
5,149.953,0.2641,0.87981,1,0.3177,0.00153497,0.00153497,0.00153497
6,177.081,0.23045,0.89663,1,0.37785,0.00150197,0.00150197,0.00150197
7,204.197,0.21206,0.88462,1,0.37487,0.00146896,0.00146896,0.00146896
8,231.338,0.24431,0.90625,1,0.29182,0.00143595,0.00143595,0.00143595
9,258.446,0.22172,0.88462,1,0.3035,0.00140295,0.00140295,0.00140295
10,285.659,0.18633,0.90385,1,0.25064,0.00136994,0.00136994,0.00136994
11,312.682,0.1967,0.90385,1,0.36628,0.00133693,0.00133693,0.00133693
12,628.445,0.18271,0.91827,1,0.25125,0.00130393,0.00130393,0.00130393
13,676.204,0.15187,0.88462,1,0.38397,0.00127092,0.00127092,0.00127092
14,701.886,0.15171,0.89663,1,0.39701,0.00123791,0.00123791,0.00123791
15,727.382,0.14607,0.88221,1,0.49384,0.00120491,0.00120491,0.00120491
16,753.229,0.14323,0.89423,1,0.40953,0.0011719,0.0011719,0.0011719
17,779.688,0.16573,0.89183,1,0.34567,0.00113889,0.00113889,0.00113889
18,805.951,0.13122,0.8774,1,0.45819,0.00110589,0.00110589,0.00110589
19,832.47,0.13964,0.91587,1,0.28133,0.00107288,0.00107288,0.00107288
20,858.754,0.13244,0.87019,1,0.46935,0.00103987,0.00103987,0.00103987
21,885.154,0.16778,0.89904,1,0.29552,0.00100687,0.00100687,0.00100687
22,911.68,0.14955,0.88221,1,0.38773,0.000973861,0.000973861,0.000973861
23,938.418,0.12658,0.90385,1,0.26081,0.000940855,0.000940855,0.000940855
24,964.994,0.11779,0.875,1,0.35846,0.000907848,0.000907848,0.000907848
25,991.567,0.107,0.89423,1,0.32349,0.000874842,0.000874842,0.000874842
26,1018.16,0.13085,0.86298,1,0.42262,0.000841835,0.000841835,0.000841835
27,1044.89,0.0853,0.91346,1,0.37415,0.000808828,0.000808828,0.000808828
28,1071.73,0.09473,0.91346,1,0.29317,0.000775822,0.000775822,0.000775822
29,1098.74,0.0978,0.90144,1,0.2715,0.000742815,0.000742815,0.000742815
30,1125.55,0.08868,0.89183,1,0.33241,0.000709809,0.000709809,0.000709809
31,1152.34,0.08465,0.91827,1,0.31559,0.000676802,0.000676802,0.000676802
32,1179.08,0.08603,0.90144,1,0.40137,0.000643795,0.000643795,0.000643795
